elapsed_s,ours_cut_pattern_types,ours_demand_length,ours_status,ours_used_length,ours_util_rate,ours_verified,ours_weld_pattern_types,ours_welding_joints,problem_no,spec,sw_cut_pattern_types,sw_demand_length,sw_used_length,sw_util_rate,sw_weld_joints_recomputed,sw_weld_pattern_types,sw_welding_joints
15.42,20,687456,RCG_TARGET_REACHED,691000,0.9948712011577424,True,18,58,SubProblem7,SA-213TP310HCbN/45x7,5,687456.0,691000.0,0.994871199,54,4,54.0
0.05,3,28834,RCG_FEASIBLE,31230,0.9232788984950369,True,1,0,SubProblem2,SA-213T92/51x13,3,28834.0,31230.0,0.923278928,0,1,0.0
7.09,18,312246,RCG_TARGET_REACHED,314000,0.9944140127388535,False,16,26,SubProblem2,SA-213TP310HCbN/54x13,6,312246.0,314000.0,0.994414032,56,2,56.0
9.66,0,474876,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213M TP310HCbN/60x5.5,6,474876.0,478500.0,0.992426336,44,5,44.0
26.0,0,1220408,UNSOLVED,0,0.0,True,0,0,SubProblem9,SA-213TP310HCbN/45x12,6,1220408.0,1225200.0,0.996088803,94,4,94.0
15.77,19,441484,RCG_TARGET_REACHED,441500,0.9999637599093998,True,18,38,SubProblem6,SA-213S30432/45x8,3,441522.0,443000.0,0.99666363,38,1,38.0
0.03,1,9200,RCG_FEASIBLE,9600,0.9583333333333334,True,1,0,SubProblem2,SA-213TP310HCbN/51x14,1,9200.0,9600.0,0.958333313,0,1,0.0
0.05,1,6600,RCG_FEASIBLE,8700,0.7586206896551724,True,1,0,SubProblem8,SA-213TP310HCbN/51x12,1,6600.0,8700.0,0.758620679,0,1,0.0
1.92,93,2088990,FEASIBLE_TARGET_REACHED,2095000,0.9971312649164678,True,88,245,SubProblem2,SA-213M TP310HCbN/57x4,14,2088990.0,2104000.0,0.99286598,225,6,225.0
10.55,13,959348,RCG_TARGET_REACHED,962000,0.9972432432432432,True,10,76,SubProblem6,SA-213TP310HCbN/45x7,5,959348.0,962000.0,0.997243226,76,2,76.0
16.44,27,561330,RCG_TARGET_REACHED,564000,0.9952659574468085,False,23,54,SubProblem9,SA-213M TP310HCbN/57x8,7,561330.0,572500.0,0.980489075,51,3,51.0
0.72,50,960212,FEASIBLE_TARGET_REACHED,966000,0.994008281573499,True,44,110,SubProblem3,SA-213TP310HCbN/63.5x4,11,960212.0,966000.0,0.994008303,104,4,104.0
15.5,0,696600,UNSOLVED,0,0.0,True,0,0,SubProblem2,12Cr1MoVG/51x4,9,696600.0,704000.0,0.989488661,66,5,66.0
0.02,1,11476,RCG_FEASIBLE,12000,0.9563333333333334,True,1,0,SubProblem10,SA-213T91Type1/51x9,1,11476.0,12000.0,0.956333339,0,1,0.0
23.72,0,1389052,UNSOLVED,0,0.0,True,0,0,SubProblem9,SA-213TP310HCbN/45x12,4,1389052.0,1389600.0,0.999605656,114,2,114.0
0.03,2,7800,RCG_FEASIBLE,8300,0.9397590361445783,True,1,0,SubProblem5,SA-213T91Type1/51x9.5,2,7800.0,8300.0,0.939759016,0,1,0.0
39.81,8,882440,TIMELIMIT_INCOMPLETE_CUTTING_PATTERN_TYPE_QUANTITY,887500,0.9942985915492958,True,5,68,SubProblem4,SA-213TP310HCbN/45x12,6,882440.0,887500.0,0.994298577,68,4,68.0
0.03,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
0.03,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
2.97,1,454632,RCG_TARGET_REACHED,456000,0.997,True,1,0,SubProblem2,SA-213TP310HCbN/51x9,1,454632.0,456000.0,0.996999979,0,1,0.0
